college_name,City,State,Ratings, Fees ,OwnerShip,Year of Est
RVCE,Bangalore, Karnataka,4,2400000,Private,1963
BITS Pilani,Pilani, Rajasthan,4,1960000,Private,1964
IIIT Delhi,Delhi, Delhi NCR,4,1500000,Private,2008
Thapar University,Patiala, Punjab,4,1482800,Public,1956
"Amity University, Noida",Greater Noida, Uttar Pradesh,4,1466000,Private,2003
KIIT University,Bhubaneswar, Odisha,4,1400000,Private,1997
Woxsen School of Business,Hyderabad, Telangana,5,1340000,Private,1983
CMR Institute of Technology (CMRIT),Bangalore, Karnataka,3,1322000,Private,2000
SRM University,Kanchipuram, Tamil Nadu,4,1307471,Private,1985
Graphic Era University,Dehradun, Uttarakhand,3,1249500,Private,1997
NMIMS Mukesh Patel School of Technology Mumbai,Mumbai, Maharashtra,4,1246000,Private,2006
IIIT Hyderabad,Hyderabad, Telangana,4,1200000,Public,1998
Andhra University,Visakhapatnam, Andhra Pradesh,4,1154960,Public,1926
Anurag University,Hyderabad, Telangana,4,1140000,Private,2002
AMU,Aligarh, Uttar Pradesh,3,1077780,Public,1875
Nirma University,Ahmedabad, Gujarat,2,1060111,Private,1995
Apeejay Stya University,Gurgaon, Haryana,3,1040000,Private,2010
SIT Pune,Pune, Maharashtra,4,1040000,Private,2008
Amity University Gurugram,Gurgaon, Haryana,4,1035765,Private,2010
IIT Gandhinagar,Gandhinagar, Gujarat,4,1028000,Public,2008
Graphic Era Hill University Bhimtal,Bhimtal, Uttarakhand,3,1009602,Private,2011
"Graphic Era Hill University, Dehradun",Dehradun, Uttarakhand,3,1001159,Private,2011
NHCE Bangalore,Bangalore, Karnataka,4,1000000,Private,2001
Sathyabama University,Chennai, Tamil Nadu,4,980000,Private,1987
IIT Indore,Indore, Madhya Pradesh,4,962500,Public,2009
Institute of Technical Education and Research,Bhubaneswar, Odisha,4,916000,Private,2004
SIU Pune,Pune, Maharashtra,4,900000,Private,2002
SNU ,Chennai, Tamil Nadu,4,900000,Private,2011
IIT Ropar,Ropar, Punjab,4,858200,Public,2008
"IIIT Gandhinagar: Indian Institute of Information Technology, Vadodara",Vadodara, Gujarat,3,840000,Public,2008
MRIIRS,Faridabad, Haryana,4,820118,Private,2009
MVJ College of Engineering (MVJCE),Bangalore, Karnataka,3,807840,Private,1982
